Model,Strategy,Context,N,Energy Reduction (%),Energy Reduction Std,Relative Energy (%),Relative Energy Std,Speedup,Speedup Std,EDP Improvement (%),EDP Improvement Std,Human Energy Red. (%),Human Speedup
Qwen2.5-Coder-7B,ZS,Oracle,74,-502.292631424756,201.4630073084433,612.6627781428733,201.27993502972305,1.17224507469703,0.2507020371764237,-438.87169981097384,221.41833988888905,1.5328887820535595,1.036256959477127
Qwen2.5-Coder-7B,ZS,Realistic,77,-492.38500835555766,192.9240897850226,604.8145298010331,191.78704499690213,1.1169042296019396,0.2053094260481138,-452.73385730653774,215.96858078763822,1.7809617360179173,1.0170438663024546
Qwen2.5-Coder-7B,COT,Oracle,50,-574.2189406496176,162.18045173832283,692.9456814671635,171.219248208441,1.1227408288673744,0.20637176602172436,-526.7525809795192,210.709175313135,1.9509847879049593,1.0350563905194392
Qwen2.5-Coder-7B,COT,Realistic,60,-628.1656884605986,99.98577716336221,732.8462462511559,101.89003297575123,1.1230286972577521,0.2623407288433283,-587.8685622173346,193.38672203809278,0.33054115075428736,1.021973964109245
Qwen2.5-Coder-7B,LDB,Oracle,82,-578.7700031278556,166.60549185699864,693.7516047803088,165.19584682377186,1.093791367736342,0.20083146063701254,-543.7658263303664,212.9496641520355,1.9952063276194372,1.022575781425376
Qwen2.5-Coder-7B,LDB,Realistic,65,-592.4534366173721,148.20172538029547,709.6682316738556,150.1695687100874,1.13735764755942,0.2591529801377033,-543.3959780165752,213.17448795685834,1.7942275815595454,1.0324238095233087
Qwen2.5-Coder-7B,SC,Oracle,58,-609.3327740211579,124.56535703204506,732.711613311089,118.50670866216052,1.1077720892129757,0.2073877517051135,-565.6040429070998,186.00477640201913,2.8209478896950504,1.0435436992262104
Qwen2.5-Coder-7B,SC,Realistic,74,-586.3326363776588,157.69316308736896,695.1273989829936,160.4374834715282,1.0619679077204325,0.1839374550210331,-568.141564662815,204.3135673437471,0.7479994359492902,0.9972496150177235
DeepSeek-R1-Distill-7B,ZS,Oracle,19,-35.66775224232488,15.272405043993505,138.11079585147135,17.331156681560415,1.085079358730034,0.20144257999311943,-29.995517808903532,31.09019053936345,1.2118702018000576,1.021133345912982
DeepSeek-R1-Distill-7B,ZS,Realistic,6,-43.332038313406855,16.682177728008234,142.93867032556824,16.622186004738097,1.0489867884621777,0.187276451136066,-41.675151971658934,35.272568016433624,-0.28260406191619336,1.00023816953266
DeepSeek-R1-Distill-7B,COT,Oracle,9,-32.046150452619344,26.527026601722564,135.2363369597222,20.819031905745522,1.0997218687027412,0.2874214515271649,-28.952864435029696,42.284477632860494,3.0879440212566376,0.9933374501848439
DeepSeek-R1-Distill-7B,LDB,Oracle,28,-31.908126486407784,17.861451986862136,136.22112416073364,21.35848789535053,1.1287234152635917,0.19738864986042562,-21.452689844895747,31.107942709318714,2.2187656644777713,1.0424271309050237
DeepSeek-R1-Distill-7B,LDB,Realistic,8,-26.20273808833754,23.069944691551374,128.1727619633728,18.17203344357482,1.122023568558031,0.20460309913395583,-16.920283435307134,35.94203728220875,2.051952105637842,1.0070713524656276
DeepSeek-R1-Distill-7B,SC,Oracle,8,-33.50433238370503,11.419556285333616,136.1282287951728,12.24419461626053,1.1725137667623635,0.21322158817815823,-18.16046329445717,28.60747312234113,1.8082883511720413,1.0471587730080383
