Model,Strategy,Context,N,Duration Ratio,Speedup,Power Ratio,Avg Power (W),Energy Ratio,Energy Reduction (%),Relative Energy vs Human (%),Base GPU Share (%),LLM GPU Share (%),GPU Share Increase (pp)
Qwen,ZS,Oracle,74,0.8858281052847501,1.17224507469703,6.95121149739271,277.4965297303633,6.0229263142475595,-502.292631424756,612.6627781428733,39.77084116443938,80.23417357939746,40.46333241495809
Qwen,ZS,Realistic,77,0.9217786615934388,1.1169042296019396,6.51842501816651,271.97139644349295,5.9238500835555765,-492.38500835555766,604.8145298010331,39.27142123039857,80.50946021594359,41.23803898554505
Qwen,COT,Oracle,50,0.917924308531164,1.1227408288673744,7.460368170909513,291.5519767231512,6.742189406496176,-574.2189406496176,692.9456814671635,41.18894277379003,82.78067160460634,41.59172883081627
Qwen,COT,Realistic,60,0.9292898032623881,1.1230286972577521,8.009833963831245,317.89674082796125,7.281656884605985,-628.1656884605986,732.8462462511559,41.00477993570811,84.3735480420756,43.3687681063675
Qwen,LDB,Oracle,82,0.9416561845017588,1.093791367736342,7.346866147560468,302.31869603729245,6.787700031278558,-578.7700031278556,693.7516047803088,39.30338274523384,81.26624772311051,41.96286497787666
Qwen,LDB,Realistic,65,0.9170162726791145,1.13735764755942,7.753650609000513,305.84836839697886,6.924534366173725,-592.4534366173721,709.6682316738556,41.39134820813837,82.28043935764249,40.88909114950414
Qwen,SC,Oracle,58,0.9309766874309878,1.1077720892129757,7.7801668326911395,316.5848232349814,7.093327740211578,-609.3327740211579,732.711613311089,39.517360127711996,83.29227724272583,43.77491711501386
Qwen,SC,Realistic,74,0.9655113280319698,1.0619679077204325,7.209867074725657,302.3792628121464,6.86332636377659,-586.3326363776588,695.1273989829936,38.120874966318105,81.70300773259895,43.58213276628083
DeepSeek,ZS,Oracle,19,0.9477538535173448,1.085079358730034,1.4482908939519212,60.606579356661015,1.356677522423249,-35.66775224232488,138.11079585147135,38.759761582866325,26.493511147245496,-12.266250435620833
DeepSeek,ZS,Realistic,6,0.9751878467919929,1.0489867884621777,1.4698457150380912,61.399119459716474,1.4333203831340686,-43.332038313406855,142.93867032556824,35.76164025366408,26.52529632468571,-9.236343928978382
DeepSeek,COT,Oracle,9,0.9480671771140899,1.0997218687027412,1.3840634163033816,61.29527742443966,1.3204615045261934,-32.046150452619344,135.2363369597222,36.94982341403286,26.302881849326255,-10.646941564706607
DeepSeek,LDB,Oracle,28,0.9088011418641467,1.1287234152635917,1.4601320404446887,58.95798307915275,1.319081264864078,-31.908126486407784,136.22112416073364,40.65347154434799,27.401798790878903,-13.25167275346909
DeepSeek,LDB,Realistic,8,0.915745478049031,1.122023568558031,1.391414186399742,56.55787084511862,1.2620273808833753,-26.20273808833754,128.1727619633728,39.58037871885558,27.966159555322214,-11.61421916353337
DeepSeek,SC,Oracle,8,0.8778866163955862,1.1725137667623635,1.542932436298886,57.86240951734648,1.3350433238370505,-33.50433238370503,136.1282287951728,41.486316193965145,27.65391592472774,-13.832400269237416
