instance_id,repo,Base_total_energy_joules,Base_duration_seconds,Base_power_watts,Base_cpu_usage_mean_percent,Base_carbon_grams,Head_total_energy_joules,Head_duration_seconds,Head_power_watts,Head_cpu_usage_mean_percent,Head_carbon_grams,Head_ZS_Oracle_total_energy_joules,Head_ZS_Oracle_duration_seconds,Head_ZS_Oracle_power_watts,Head_ZS_Oracle_cpu_usage_mean_percent,Head_ZS_Oracle_carbon_grams,Head_ZS_Realistic_total_energy_joules,Head_ZS_Realistic_duration_seconds,Head_ZS_Realistic_power_watts,Head_ZS_Realistic_cpu_usage_mean_percent,Head_ZS_Realistic_carbon_grams,Head_CoT_Oracle_total_energy_joules,Head_CoT_Oracle_duration_seconds,Head_CoT_Oracle_power_watts,Head_CoT_Oracle_cpu_usage_mean_percent,Head_CoT_Oracle_carbon_grams,Head_CoT_Realistic_total_energy_joules,Head_CoT_Realistic_duration_seconds,Head_CoT_Realistic_power_watts,Head_CoT_Realistic_cpu_usage_mean_percent,Head_CoT_Realistic_carbon_grams
astropy__astropy-12842,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-13496,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-13734,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-13745,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-13817,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-14413,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-14590,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-15228,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-15710,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-15948,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-16058,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
astropy__astropy-16065,astropy/astropy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-24250,matplotlib/matplotlib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matplotlib__matplotlib-28104,matplotlib/matplotlib,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-2313,mwaskom/seaborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-2389,mwaskom/seaborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-2449,mwaskom/seaborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mwaskom__seaborn-2458,mwaskom/seaborn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-1891,psf/requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psf__requests-3036,psf/requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-5571,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-5845,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-6109,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-6160,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-6834,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-7206,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-7209,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-7578,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-7809,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8277,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8412,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8415,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8507,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8512,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8527,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8575,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8627,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8668,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8684,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8711,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8737,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-8946,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9014,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9079,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9109,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9116,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9243,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pydata__xarray-9369,pydata/xarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
